ID,type,name,longitude,latitude,destination_id
688,dive_center,Zadar Sub,15.251696,44.119523,440
681,dive_center,AQUA SUB d.o.o,14.393896,45.357016,436
690,dive_center,Diving Center Resnik,16.331663,43.551813,6377
691,dive_center,Diving Center Big Blue,16.623254,43.281929,6198
692,dive_center,KPA 3. Maj,14.389004,45.336615,436
697,dive_center,Dive Stock,24.823131,59.464652,350
702,dive_center,Bougainville Diving Biograd,15.459413,43.924182,450
708,dive_center,Kron Diving XR,14.705343,44.792276,1909
709,dive_center,Dragor Lux d.o.o.,15.965019,45.795705,6199
714,dive_center,Rubicon Diving,-13.815647,28.859426,381
715,dive_center,Lanzarote Non Stop Divers,-13.812237,28.862239,381
716,dive_center,Sa Caleta,-16.723713,28.055529,316
717,dive_center,La Palma Diving Center,-17.840616,28.479676,456
718,dive_center,Centro de Buceo El Hierro,-17.981909,27.640998,457
689,dive_center,Diving Center Viking,16.44323,43.172591,441
738,dive_center,RAMASSAMY STEPHANE,9.012893,42.039604,49
728,dive_center,Mediterraneo,7.420816,43.737411,463
767,dive_center,Dragor Lux,15.965019,45.795705,6199
794,dive_center,Diving Center No Limit Diver,15.419348,43.963387,503
803,dive_center,Medena Diving Center - Trogir,16.228698,43.518966,509
792,dive_center,DIVING CENTER TRAMONTO,15.647285,43.799775,501
805,dive_center,ANEMONE DIVING CENTER PALAMÓS,3.129816,41.850507,510
808,dive_center,Pura Vida Lanzarote Diving,-13.798443,28.956837,381
890,dive_center,"ESPINO INGENIEROS, SL",-15.45978,28.08997,273
872,dive_center,CIR - CENTRE DE INMERSIO ROSES,3.185054,42.259422,365
873,dive_center,SCUBA ALEGRE,3.112294,42.153054,554
874,dive_center,Lassdive,3.193329,42.010456,3383
875,dive_center,Snorkel,3.188155,41.893376,555
876,dive_center,Ictineo,3.05696,41.806088,556
882,dive_center,SCUBA BAHIA,2.837766,39.472634,560
887,dive_center,ANEMONE DIVING CENTER,3.129816,41.850507,510
886,dive_center,AIR EQUIPO,-16.555616,28.081523,562
894,dive_center,Subkro,1.246391,41.105106,565
905,dive_center,RELLOTGERIA ALABART,2.126554,41.371927,3934
915,dive_center,Siam Diving Enterprises Asia Pacific Co Ltd,99.822507,10.081529,199
916,dive_center,Scuba Quest Dive Center,98.280047,7.949738,2116
893,dive_center,SCUBAFIX,3.198896,42.054392,220
926,dive_center,Mojo Divers,99.829721,10.099823,199
927,dive_center,Koh Tao Scuba Club,99.829721,10.099823,199
929,dive_center,Odd Diving,100.958384,12.675777,4223
939,dive_center,I.R.T.D.A. d.o.o.,14.447786,45.078789,589
943,dive_center,Indepth Scuba,149.058791,-35.241513,592
944,dive_center,Straightline Ski & Scuba,149.170789,-35.325776,6129
925,dive_center,Crystal Dive,99.825095,10.085781,199
1015,dive_center,MUNSTER DIVE CENTRE,-8.489221,51.887471,646
1016,dive_center,Cork Dive Centre,-8.485829,51.871768,646
1017,dive_center,Di-Nautika d.o.o.,15.942159,45.807032,6199
1018,dive_center,DIVING FRONTIERS,115.809791,-31.862077,13
1019,dive_center,Perth Scuba,115.908509,-32.060042,707
1020,dive_center,Adreno Perth,115.793156,-32.06322,707
1027,dive_center,Prestige Dive School,28.221684,-26.187464,371
1028,dive_center,Twin Palms Dive Emporium,28.15796,-26.14664,371
1038,dive_center,Geko Divers,28.329355,-25.789627,353
1039,dive_center,OceanComocean,28.340351,-25.838164,353
1054,dive_center,Dive Point - Rannalhi,73.358087,3.90334,5977
1055,dive_center,Dive Point - Meedhupparu,72.979296,5.456001,3175
1056,dive_center,Dive Point - Vadoo,73.457245,4.124044,669
1057,dive_center,Dive Point - Kuda Rah,72.909856,3.574652,668
1058,dive_center,Dive Point - Hudhuran Fushi,73.61844,4.348893,1651
1059,dive_center,Dive Point - Guraidhoo,73.466669,3.899296,2641
1060,dive_center,Dive Point - Hudhuran Fushi,73.61844,4.348893,1651
1061,dive_center,Dive Point - Guraidhoo,73.466669,3.899296,2641
1062,dive_center,Dive Point Operations,73.517185,4.176531,6396
1100,dive_center,Mevagh Dive Centre,-7.785361,55.176173,693
1087,dive_center,AMIT International Group,51.388974,35.689198,685
1135,dive_center,GOO Diving,-16.603319,28.028088,714
1136,dive_center,BOX FISH,-16.641058,28.011088,316
1137,dive_center,BLUE MAGMA DIVING,-17.943056,28.643611,716
1138,dive_center,DEEP BLUE DIVING,-13.855134,28.392081,2994
1139,dive_center,LA GRACIOSA DIVERS,-13.502787,29.230234,2946
1124,dive_center,Dive & Fish Australia,115.75745,-32.008358,707
1146,dive_center,DNS NAUTIKA,18.624766,42.439616,723
1164,dive_center,Dive Academy,-2.677288,50.952935,4117
1165,dive_center,Lagoon Safaris,167.240515,-21.038497,741
1145,dive_center,SEA STORE DOO,18.841097,42.288831,722
1196,dive_center,KARAPAT DIVE,-15.394156,27.991608,758
1199,dive_center,Zadar Sub,15.251696,44.119523,440
1200,dive_center,Pangea Fishing store,16.231668,43.519056,509
1198,dive_center,Pangea Ribolov D.O.O,15.892936,43.731967,760
1213,dive_center,CASCO ANTIGUO PORTUGAL,-9.135632,38.706932,769
1214,dive_center,DIVESPOT,-8.359605,37.101262,770
1215,dive_center,SPARUS SUB,-9.379195,39.356676,771
1216,dive_center,EASYDIVERS,-8.266246,37.084979,772
1217,dive_center,BESTSPOT,-25.659474,37.741199,773
1218,dive_center,HIDROSPOT,-8.641948,41.105398,774
