name,country,latitude,longitude,saved,id
name,country,latitude,longitude,saved,id
name,country,latitude,longitude,saved,id
name,country,latitude,longitude,saved,id
name,country,latitude,longitude,saved,id
Bali,Indonesia,-8.3304977,115.0906401,true,139
North Thiladhunmathi,Maldives,7.06072965,72.98966277933317,true,140
Pernambuco,Brazil,-8.4116316,-37.5919699,true,141
Oaxaca,Mexico,17.0,-96.5,true,142
Nevada,United States,39.5158825,-116.853722,true,143
Centre-Val de Loire,France,47.5490251,1.7324062,true,144
Oregon,United States,43.9792797,-120.737257,true,145
Central Sulawesi,Indonesia,-1.6937786,120.8088555,true,146
South Thiladhunmathi,Maldives,6.4499010000000006,72.62648989040409,true,147
Shibh Jazirat Sina',Egypt,29.42868835,33.778194181531624,true,148
Moluccas,Indonesia,-3.118837,129.4207759,true,149
Yucatán,Mexico,20.6845957,-88.8755669,true,150
Saint George,Barbados,13.138402249999999,-59.5443721378594,true,151
Region of Banská Bystrica,Slovakia,48.7411522,19.4528646,true,152
United States Virgin Islands,United States,17.789187,-64.7080574,true,153
Addu Atoll,Maldives,-0.64149345,73.16299780292195,true,154
Jahra,Kuwait,29.2733964,47.4979476,true,155
Umbria,Italy,42.965916,12.490236,true,156
South Maalhosmadulu,Maldives,4.8806627,72.8532557993765,true,157
Łódzkie Voivodship,Poland,51.4721678,19.3460637,true,158
Cherkasy Oblast,Ukraine,49.1460165,31.2271744,true,159
Federation of Bosnia and Herzegovina,Bosnia and Herzegovina,44.3053476,17.5961467,true,160
Oklahoma,United States,34.9550817,-97.2684063,true,161
Gelderland,Netherlands,52.1014041,5.9515701,true,162
Region Zealand,Denmark,55.4864453,11.691349261334938,true,163
Bohol,Philippines,9.833333,124.1615579,true,164
Thessaly and Central Greece,Greece,39.0247815,22.4392143456075,true,165
Puerto Rico,United States,18.2247706,-66.4858295,true,166
Sister Islands,Cayman Islands,19.71988615,-79.79313999026272,true,167
North Miladhunmadulu,Maldives,6.33229975,73.23246349599427,true,168
Cantón Quepos,Costa Rica,9.4127862,-84.0649206132122,true,169
Ontario,Canada,50.000678,-86.000977,true,170
Minnesota,United States,45.9896587,-94.6113288,true,171
Aegean,Greece,37.15010315,25.45507683069038,true,172
"Peloponnese, Western Greece and the Ionian",Greece,37.20440655,22.165093394042977,true,173
New Brunswick,Canada,46.500283,-66.750183,true,174
Sonora,Mexico,29.3333331,-110.6666671,true,175
Muscat Governorate,Oman,23.4830409,58.592088906822184,true,176
Prince Edward Island,Canada,46.503680700000004,-63.59541096896726,true,177
North Nilandhe Atoll,Maldives,3.1314909,72.88435672916549,true,178
Quebec,Canada,52.4760892,-71.8258668,true,179
Guam,United States,13.450125700000001,144.75755102972062,true,180
