ID,name,longitude,latitude,address,region,country,destination_id
7337,King’s Alley,-64.8962,17.6963,Veterans Shore Drive ,United States Virgin Islands,United States,
7341,Shark Reef - Toberua,178.7269,-17.9747,,,,
7342,Magic Reef,178.7529,-17.9507,,,,
7343,Picnic Island,178.7546,-17.8252,,,,
7344,Everett’s Paradise,178.7532,-17.9527,,,,
7354,The Bowl - Spring Creek,-100.5,44.5553,Cow Creek Road ,South Dakota,United States,
7356,Boulder Haven Plum Creek,-100.5293,44.5704, ,South Dakota,United States,
7361,Billy Goats Jump Wreck Site,-100.443,44.455, ,South Dakota,United States,
7363,Spring Creek drop off ledge ,-100.4885,44.5417,196th Street 28273,South Dakota,United States,
7364,Cheney Reservoir,-97.8021,37.7773,,,,
7366,Betty Hedger,-79.6094,42.4479, ,New York,United States,
7367,Fam Wall (Keruwo Channel),130.2967,-0.5905, ,West Papua,Indonesia,
7373,Dheraha Thila,72.8812,5.6827,,,,
7391,FARO ES VEDRA (GORGONIAS),1.1881,38.8624,Cami de Cala d&#039;Hort ,Balearic Islands,Spain,
7392,John J Boland,-79.7298,42.3812,,,,
7394,Indiana,-80.0084,42.2741,,,,
7395,Tradewind,-80.2047,42.4443,,,,
7399,Seromadopo,127.6887,-0.4725,,,,
7401,Tanjung Dehibira,127.7239,-0.4227,,,,
7402,Tanjung Duva Duva,127.7265,-0.4115,,,,
7412,La Lavandera,-67.9289,10.4749, ,Estado Carabobo,Venezuela,
7418,Lalosi,130.4928,-0.5465,Burahman Main Street ,West Papua,Indonesia,
7432,Aquarium,58.176,23.8379, ,Muscat,Oman,
7433,Tito&#039;s Run,58.116,23.8661, ,Muscat,Oman,
7440,Hin ao yai,102.5984,11.6118,,,,
7442,Yenkoranu,130.671,-0.5583, ,West Papua,Indonesia,
7443,War Axe State Recreational Area,-98.7333,40.7245,I 80 ,Nebraska,United States,
7449,Kuda Badhi Caves,73.6907,4.4723, ,Malé Atoll,Maldives,
7452,Chico 1,-62.9879,18.1087, ,Saint-Martin (France),France,
7470,Bahia Minotauro,-68.5256,-38.5581, ,Neuquén,Argentina,
7472,Black Tip Reef,58.0912,23.8594,,,,
7475,горгиппия,37.3632,44.7794, ,Краснодарский край,Россия,
7477,Kabui Reef,130.6973,-0.4471,,,,
7478,Melissa’s Garden,130.3153,-0.59,,,,
7481,Uri,130.6916,-0.4174,,,,
7484,Blue Sky shipwreck,27.7723,36.2456,,,,
7485,Saint Minas Bay,27.7065,36.2654,,,,
7486,Stronggili wall,27.7658,36.2435,,,,
7487,Asdhoo Wreck,73.68,4.4582, ,Malé Atoll,Maldives,
7488,Guno’s Trace,58.096,23.8612,,,,
7519,Police Run,58.0989,23.8617,,,,
7520,Felici garden,130.628,-0.5707, ,West Papua,Indonesia,
7522,sankuba,55.212,-20.9632,,,,
7534,Kassanfaru Beyru,73.6748,4.5028, ,Malé Atoll,Maldives,
7536,Banana Rock Racha Noi,98.3299,7.504,,,,
7540,R-BLACK TIP REEF,58.0851,23.8582,,,,
7541,Titto’s Run,58.0758,23.8567,,,,
7542,Big Wall,58.173,23.8376,,,,
7543,Praia do Ancoradouro,-8.8273,42.3333,A Roza ,Galicia,Spain,
7546,Kassanfaru Corner,73.6814,4.497, ,Malé Atoll,Maldives,
7553,Ilha Queimada Grande - Saco da Lama,-46.6744,-24.4801,,,,
7556,Hohola Thila,72.8081,3.9617,,,,
7567,Shark Point,130.6065,-0.65, ,West Papua,Indonesia,
7569,Caladesi Dive Site,-82.8149,28.0271,,,,
7573,Suangi Slope,129.7107,-4.3254,,,,
7574,Kurkap Pinnacle,131.7961,-4.5405,,,,
7575,Kurkap,131.7877,-4.5428,,,,
7576,Koon Corner,131.2083,-3.9303,,,,
7577,Manuk Ridge,130.3027,-5.5326,,,,
7578,Hope Point,174.7449,-35.4608,,,,
7580,Manuk Black Rock,130.3133,-5.5427,,,,
7582,Scuba Diver’s Paradise Deep Horizon,-97.5327,31.0328,,,,
7583,Scuba Divers Paradise Gnome Boat,-97.5414,31.0137,,,,
7584,Scuba Divers Paradise’s Advanced Site,-97.5315,31.033,,,,
7586,Scuba Republic House Reef,130.7535,-0.4428, ,West Papua,Indonesia,
7597,Lao Lao,130.7268,-0.4998,,,,
7598,Vibrant Colors,130.5134,-2.0556,,,,
7599,Koh Khang Suea / เกาะคางเสือ,99.2165,10.1545,,,,
